start time, request type, latency, response code
1623372500078, POST, 1305, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500078, POST, 1305, 200
1623372500078, POST, 1305, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500078, POST, 1305, 200
1623372500078, POST, 1305, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500080, POST, 1303, 200
1623372500078, POST, 1305, 200
1623372500079, POST, 1304, 200
1623372500078, POST, 1305, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
1623372500078, POST, 1305, 200
1623372500078, POST, 1305, 200
1623372500079, POST, 1304, 200
1623372500078, POST, 1305, 200
1623372500079, POST, 1304, 200
1623372500079, POST, 1304, 200
